acc_no,author,title,publisher_info,year,isbn,storage_loc,subject,class_no
B8520,Amos (S W),"Radio, TV & Audio Technical Reference Book",,1977.0,40800259,TLC-R-1-S-1,REFERENCE,(03) 621.396 AMO
B2422,Hawker (J P),Radio and Television Engineers' Reference Book,"George Newnes Limited, London",1960.0,,TLC-R-1-S-1,REFERENCE,(03) 621.396.:62.397.1 HAW
B22799,Deren Yang,Handbook of Photovoltaic Silicon,Springer,2019.0,9783662564714,TLC-R-1-S-1,REFERENCE,(03) 621.396.:62.397.1 HAW
AUTO-00001,Jordan (C),"Reference Data for Engineers: Radio, Electronics, Computer, and Communication 7th ed.","Howard W. Sams & Co., Inc, USA",1975.0,0672215632,TLC-R-1-S-1,REFERENCE,(03) 621.396 JOR
B18775,Visser (G J),Nederlands Engels Woordenboek,,1970.0,,TLC-R-1-S-1,REFERENCE,(030) VIS
B15657,ss,Electrical Engineer's Reference Book 14th ed.,"Butterworths, London",1985.0,0408004320,TLC-R-1-S-1,REFERENCE,(03)621.3 LAU
B17406,O'Brien (D),The Penguin India Reference Yearbook 2007,"Penguin Books, India",2006.0,9780143100874,TLC-R-1-S-1,REFERENCE,(03) BRI
B20944,Microsoft Windows,Multimedia Programmer's Reference,Microsoft Corporation,1991.0,,TLC-R-1-S-1,REFERENCE,(03) 681.3.06.811.93.MIC
B18998,Muthuswamy & Brinda,Swamy' s Complete Manual on Establishment and Administration for Central Government Offices,"Nathan & Company, Chennai",2000.0,,TLC-R-1-S-1,REFERENCE,(03) MUT
B4076,Amerongen (V),Indian Industres Reference Book and Directory,"Plastic & Bakelite Products, India",,,TLC-R-1-S-1,REFERENCE,(03)67(540) AME
B20954,Microsoft Windows,Programmer's Reference Microsoft Windows for PEN Computing:,Microsoft Corporation,1992.0,,TLC-R-1-S-1,REFERENCE,(03)681.3.06:811.90 MIC
B20949,Microsoft Windows,Programmer's Reference Voume 2: Functions,Microsoft Corporation,1992.0,,TLC-R-1-S-1,REFERENCE,(03)681.3.06:811.90 MIC
B20947,Microsoft Windows,"Programmer's Reference Voume 3: Messages, Structures, and Macros",Microsoft Corporation,1992.0,,TLC-R-1-S-1,REFERENCE,(03)681.3.06:811.90 MIC
B20948,Microsoft Windows,Programmer's Reference Voume 1: Overview,Microsoft Corporation,1992.0,,TLC-R-1-S-1,REFERENCE,(03)681.3.06:811.90 MIC
B20946,Microsoft Windows,Programmer's Reference Voume 4: Resources,Microsoft Corporation,1992.0,,TLC-R-1-S-1,REFERENCE,(03)681.3.06:811.90 MIC
B632,Westinghuse Electric Corporation,Industrial Electronics Reference Book,"John Wiely & Sons, London",1948.0,,TLC-R-1-S-1,REFERENCE,(03)681.3.06:811.90 MIC
REFERENCE,Withers (M J ),The Technical Services Scheme Handbook 1989,ERA Technology / England,1989.0,,TLC-R-1-S-1,REFERENCE ONLY,
B9597,Electronics Test Staff,ATE Reference Handbook,"Morgan Grampian Pub, Boston",1983.0,,TLC-R-1-S-1,REFERENCE,(035)621.396.001.4 N89
B14447,Crompton ( T R ),Battery Reference Book,"Betterworths, London",1990.0,0408007907,TLC-R-2-S-2,ENCYCLOPEDIA,(03)621.352 N 90
B11097,Parker (S P),Mc Graw-Hill Encyclopedia of electronics and Computers ( VOLUME 1 ),"MC Graw-Hill, New York",1982.0,0070454876,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 621.38.681.N 82
B18174,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technology ( Volume 2 ),"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 621.38.681.N 82
B18175,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technology (Volume 3),"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 00 1V.2
B18176,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy ( Volume 4),"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031)001V.3
B18177,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy (Volume 5),"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031)001V.4
B18178,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy (Volume 6),"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031)001V.5
B18179,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy (volume 7),"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031)001V.5
B18180,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.7
B18181,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.8
B18182,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.9
B18183,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.10
B18184,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.11
B18185,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V .12
B18186,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V .13
B18187,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V .14
B18188,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.15
B18189,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V .16
B18190,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V. 17
B18191,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V .18
B18192,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.19
B18193,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.20
B7278,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 .038) v-3
B7279,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 . 038) V-4
B7280,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 . 038) V-5
B7281,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 . 038) V-6
B7282,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 .038) V-7
B7283,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 . 038) V-8
B7284,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 .038) V-9
B7285,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 .038) V-10
B7286,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 .038) V-11
B7287,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031. 038) V12
B7288,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031. 038) V13
